Name,Height (in),Weight (lbs),Years Starter (college),Draft position,HS Stars (247 comp),School Prestige at the time,Support Cast (College),Pass Yards as starter per game,Pass TDs per game,Attempts per game,Cmp%,INTs per game,Passing efficiency rating,Rush Yards per game,Rush TDs per game,40-Yard,Vert (in),Hand Size,Wonderlic/S2 equivalent,Wonderlic/S2 Test taken or confidential,Heisman,Rating
Malik Willis (Liberty),73,225,2,86,0.8886,3.25,3.25,222.7,2.04,26.26,62.4,0.78,153.4,79.22,1.17,4.37,38.5,9.5,32,1,0,0.34
Mac Jones (Alabama),75,220,1.33,15,0.8847,10,10,353.12,3.24,31.94,75.1,0.41,198.8,2.47,0.12,4.83,32,9.75,22,1,0,0.33
Jacoby Brissett (NC State),76,235,2,91,0.9434,4.25,4,202.62,1.65,29.42,59.9,0.42,133.4,34.58,0.35,4.94,31,9.75,24,1,0,0.33
Drew Lock (Mizzou),76,228,3.33,42,0.9553,7,4,280.72,2.15,33.76,56.9,0.85,148.7,9.5,0.2,4.69,31,9,26,1,0,0.31
Jameis Winston (Florida State),76,231,2,1,0.9915,6.25,8,294.96,2.41,31.52,66,1.04,163.3,10.52,0.26,4.97,28.5,9.375,27,1,1,0.30
JJ McCarthy (Michigan),75,219,2,10,0.9866,7.5,9,196.9,1.52,22.55,68.5,0.31,161.3,17.52,0.28,4.48,32,9,29.2,0,0,0.29
Dillon Gabriel (UCF + Oklahoma + Oregon),71,205,5,94,0.8704,8.25,6.25,293.57,2.39,32.93,65,0.48,160.9,17.77,0.51,4.92,29,9.25,38,1,0,0.26
Tua Tagovailoa (Alabama),73,225,2,5,0.9843,10,10,283.58,3.17,25.29,70,0.38,202.6,8.63,0.29,4.9,33,10,19,1,0,0.25
Shedeur Sanders (Jackson state + Colorado),74,212,4,144,0.9126,3.25,7.5,286.94,2.68,36.16,70.1,0.54,160.4,0.6,0.34,4.7,36.5,9.375,29.2,0,0,0.25
Jimmy Garoppolo (Eastern Illinois),74,225,3.67,62,0.7889,0.25,0.25,291.7,2.64,36.77,62,1.16,146.3,-1.8,0.14,4.97,30.5,9.25,29,1,0,0.24
Davis Mills (Stanford),76,225,1,67,0.9918,6.75,5,315.27,1.64,39.64,65.8,0.73,142.6,7.36,0.27,4.82,32,9.5,36,1,0,0.24
Marcus Mariota (Oregon),76,222,3,2,0.8653,8.75,7.75,263.32,2.56,28.46,66.8,0.34,171.8,54.56,0.71,4.52,36,9.875,33,1,1,0.23
Will Levis (Kentucky),76,229,2,33,0.8689,4.75,6,218.04,1.79,26.5,65.7,0.96,149.9,11.21,0.46,4.75,34,10.625,37,1,0,0.23
Gardner Minshew (ECU and Wazzu),73,225,2,178,0.8089,1.75,1.75,300.83,2.08,42,64,0.7,138.7,3.04,0.17,4.97,33.5,10.125,42,1,0,0.23
Justin Fields (Ohio State),75,227,2,11,0.9998,10,10,244.23,2.86,26.32,68.7,0.41,179.1,39.41,0.68,4.46,33.3,9.125,47,1,0,0.22
Aiden O'Connell (Purdue),75,206,2.5,135,0,3.25,3,300.67,2.11,39.78,67.3,0.96,141.8,-9.81,0.07,4.7,29,9.75,32,1,0,0.17
Geno Smith (West Virginia),75,221,3,39,0.954,6,7.75,291.1,2.49,36.31,67.5,0.51,154.6,8.59,0.1,4.59,33.5,9.25,24,1,0,0.16
Mitchell Trubisky (UNC),75,222,1,2,0.9171,6.25,4,288.31,2.31,34.38,68,0.46,157.9,23.69,0.38,4.67,27.5,9.5,25,1,0,0.15
Tyler Huntley (Utah),73,204,3,300,0.8669,6.5,5,220.94,1.39,25.67,67.2,0.61,152.7,34.27,0.45,4.56,38,9.5,29.2,0,0,0.15
Joe Milton (Michigan + Tennessee),77,246,1.5,193,0.9202,5.75,6,243.13,1.5,30.94,59.7,0.56,147.3,25.5,0.5,4.56,35,10.25,29.2,0,0,0.15
Sam Howell (UNC),73,220,3,144,0.9582,4.75,7.25,277.92,2.49,30.19,63.8,0.62,164.2,27.27,0.46,4.87,28.2,9.125,34,1,0,0.14
Case Keenum (Houston),50,220,4,300,0.7222,2.75,5,371.62,3,43.3,69.4,0.82,160.6,16.52,0.46,4.82,32.5,9.125,26,1,0,0.14
Mason Rudolph (Ok State),77,235,3,76,0.9004,6.75,7,327.31,2.21,34.9,63.6,0.56,160,1.56,0.44,4.9,26,9.125,28,1,0,0.14
Kenny Pickett (Pitt),75,220,4,20,0.8567,4.75,5,245.71,1.67,33.5,62.6,0.65,136.7,14.92,0.38,4.73,33.5,8.5,17,1,0,0.13
Spencer Rattler (Oklahoma + South Carolina),72,211,3.5,150,0.9942,9.5,6,255.38,1.81,31,68.6,0.76,152.1,7.07,0.38,4.95,32,9.875,29.2,0,0,0.12
Joshua Dobbs (Tennessee),75,220,2,135,0.9305,7.75,7,201.42,1.62,26.96,61.3,0.65,139,57.77,0.88,4.64,33,9.25,29,1,0,0.11
Cooper Rush (Central michigan),75,225,4,300,0.8253,2.25,1,257.88,1.8,32.96,62,1.1,139.1,-2.16,0.1,4.93,27,9.125,29.2,0,0,0.10
Teddy Bridgewater (Louisville),74,210,3,32,0.9515,6.25,5,272.69,2,31.72,68.4,0.67,157.2,4.72,0.17,4.78,30,9.25,20,1,0,0.08
Zach Wilson (BYU),74,214,3,2,0.854,7,5,255.07,1.87,27.9,67.6,0.5,162.9,21.4,0.5,4.84,34,9.5,28,1,0,0.07
Jarret Stidham (Auburn),75,215,2.5,133,0.9829,7.75,6.25,220.44,1.33,27.37,63.6,0.41,151.4,5.7,0.26,4.81,31,9.125,27,1,0,0.06
Jake Browning (Washington),74,209,4,300,0.9633,5.75,7,232,1.77,27.98,64.6,0.64,150.6,4.6,0.3,4.74,29,9,29.2,0,0,0.06
Desmond Ridder (Cincy),75,211,4,74,0.8181,3.5,5.25,204.78,1.74,26.08,62.1,0.56,145.8,43.58,0.56,4.52,36,10,19,1,0,0.06
Trey Lance (NDSU),76,226,1,3,0.8104,3,4,172.65,1.76,18.65,65,0.06,173.8,73.12,0.94,4.55,32.4,9.125,37,1,0,0.05
Anthony Richardson (Florida),76,244,1,4,0.9204,7.75,6.5,212.42,1.42,27.25,53.8,0.75,131,54.5,0.75,4.43,40.5,10.5,21,1,0,0.05
Tyson Bagent (Shepherd),75,212,4,300,0,0,0.25,321.4,3,38.49,69,0.91,160.4,3.38,0.23,4.79,36,9.5,36,1,0,0.04
Jake Haener (Fresno State),73,200,3,127,0.8628,3.25,2.5,310.79,2.31,36.97,68.2,0.59,156.3,-3,0.28,4.8,35,9.375,39,1,0,0.03
Brady Cook (Mizzou),74,215,3,300,0.8681,5.25,6.75,226.08,1.21,28.24,64.5,1.21,143.2,29.66,0.5,4.59,37,9.25,29.2,0,0,0.02
Skylar Thompson (Kansas State),74,219,3,247,0.8809,5.75,1.5,171.15,0.97,21.71,63,0.38,142.1,23,0.59,4.91,31,8.625,25,1,0,0.02
Max Brosmer (New Hampshire + Minnesota),74,217,4,300,0.7667,0,0.5,237.77,1.79,33.19,62,0.65,136.3,4.9,0.31,4.79,32,9.25,29.2,0,0,0.01
